,Marca,Modelo,DESCRICAO,Valor,embedding_musical,categoria_musical,specs_musicais
10,MICHAEL,HARDWARE LANÇAMENTO - DMXHW08,Haste black tipo girafa para prato de bateria eletrônica. Pack Master 1 unidade,88.19999999999999,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_METAL || CONTEXTO: instrumento musical percussao metal orquestra || MARCA: ECHAEL || MODELO: HARDWAD ANÇAMENTO - DMXHW08 || DESCRICAO_MUSICAL: HASTE BACK TIPO GIRAF PARA PRATO DE BATERIA ELETRÔNICA PACK MASTER 1 UNIDADE,INSTRUMENTO_PERCUSSAO_METAL,{}
11,MICHAEL,FONTE - DMXAD12,Fonte de alimentação 12V - DC - Bivolt para bateria eletrônica. Compatível com os módulos Stage e Concert. Pack Master 1 unidade,100.1,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: ECHAEL || MODELO: FONTE - DMXAD12 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: FONTE DE ALIMENTAÇÃO 12V - DC - BIVOLT PARA BATERIA ELETRÔNICA COMPATÍVEL COM OS MÓDULOS STAGE E CONCERT PACK MASTER 1 UNIDADE,OUTROS,{'AFINACAO': ['E']}
12,MICHAEL,CABO LANÇAMENTO - DMXCB03,Cabo medusa (multicabo) compatível com os Módulos: Concert e Stage. Pack Master 1 unidade,106.4,CATEGORIA_MUSICAL: EQUIPAMENTO_AUDIO || CONTEXTO: equipamento som audio microfone cabo || MARCA: ECHAEL || MODELO: CABO ANÇAMENTO - DMXCB03 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CABO MEDUSA (MULTICABO) COMPATÍVEL COM OS MÓDULOS CONCERT E STAGE PACK MASTER 1 UNIDADE,EQUIPAMENTO_AUDIO,{'AFINACAO': ['E']}
13,MICHAEL,INTERFACE MIDI - AKM13,"Interface MIDI Michael. Sistema de alimentação via USB, MIDI In / MIDI Out, canais MIDI, conexão USB / PC /MAC, compatibilidade para Windows XP, Vista e MAC OS. Não é necessário instalação de driver com sistema plug and play (cabos de conexão removíveis).",123.2,CATEGORIA_MUSICAL: EQUIPAMENTO_AUDIO || CONTEXTO: equipamento som audio microfone cabo || MARCA: ECHAEL || MODELO: INTERFCE EDI - AKM13 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: INTERFCE EDI ECHAEL BSTEMA DE ALIMENTAÇÃO VIA USB EDI IN EDI OUT CANAIS EDI CONEXÃO USB PC MAC COMPATIBILIDADE PARA WINCWS XP VISTA E MAC OS NÃO É NECESSÁRIO INSTAAÇÃO DE DRIVER COM BSTEMA PLUG AND PAY (CABOS DE CONEXÃO DMOVÍVEIS),EQUIPAMENTO_AUDIO,{'AFINACAO': ['E']}
14,MICHAEL,INTERFACE MIDI - AKM14,"Interface MIDI Michael. Sistema de alimentação via USB, MIDI In / MIDI Out, canais MIDI, conexão USB / PC / MAC, compatibilidade para Windows XP, Vista e MAC OS. Não é necessário instalação de driver com sistema plug and play (cabos de conexão removíveis). Permite interface simultânea de instrumentos (teclados).",123.9,CATEGORIA_MUSICAL: EQUIPAMENTO_AUDIO || CONTEXTO: equipamento som audio microfone cabo || MARCA: ECHAEL || MODELO: INTERFCE EDI - AKM14 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: INTERFCE EDI ECHAEL BSTEMA DE ALIMENTAÇÃO VIA USB EDI IN EDI OUT CANAIS EDI CONEXÃO USB PC MAC COMPATIBILIDADE PARA WINCWS XP VISTA E MAC OS NÃO É NECESSÁRIO INSTAAÇÃO DE DRIVER COM BSTEMA PLUG AND PAY (CABOS DE CONEXÃO DMOVÍVEIS) PERETE INTERFCE BMULTÂNEA DE INSTRUMENTOS (TECACS),EQUIPAMENTO_AUDIO,{'AFINACAO': ['E']}
15,MICHAEL,PAD LANÇAMENTO - DMXPD17,Pad de Prato 8”. Pack Master 1 unidade,133.7,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_METAL || CONTEXTO: instrumento musical percussao metal orquestra || MARCA: ECHAEL || MODELO: PAD ANÇAMENTO - DMXPD17 || DESCRICAO_MUSICAL: PAD DE PRATO 8 PACK MASTER 1 UNIDADE,INSTRUMENTO_PERCUSSAO_METAL,{}
16,MICHAEL,PEDAL LANÇAMENTO - DMXPE02,Pedal de controle de Hi-Hat. Pack Master 1 unidade,155.4,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: ECHAEL || MODELO: PEDAL ANÇAMENTO - DMXPE02 || DESCRICAO_MUSICAL: PEDAL DE CONTROLE DE HI-HAT PACK MASTER 1 UNIDADE,OUTROS,{}
17,MICHAEL,ESTANTE DE PAD DE PERCUSSÃO - DMXST10,Estante para PAD de percussão. Pack Master 1 unidade.,161.0,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: ECHAEL || MODELO: ESTANTE DE PAD DE PERCUSSÃO - DMXST10 || DESCRICAO_MUSICAL: ESTANTE PARA PAD DE PERCUSSÃO PACK MASTER 1 UNIDADE,OUTROS,{}
18,MICHAEL,PEDAL LANÇAMENTO - DMXPE04,Pedal de controle de Bumbo. Pack Master 1 unidade,167.3,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_PELE || CONTEXTO: instrumento musical percussao pele bateria orquestra || MARCA: ECHAEL || MODELO: PEDAL ANÇAMENTO - DMXPE04 || DESCRICAO_MUSICAL: PEDAL DE CONTROLE DE BUMBO PACK MASTER 1 UNIDADE,INSTRUMENTO_PERCUSSAO_PELE,{}
19,MICHAEL,PAD LANÇAMENTO - DMXPD19,Pad de Prato 12” com Choke. Pack Master 1 unidade,178.5,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_METAL || CONTEXTO: instrumento musical percussao metal orquestra || MARCA: ECHAEL || MODELO: PAD ANÇAMENTO - DMXPD19 || DESCRICAO_MUSICAL: PAD DE PRATO 12 COM CHOKE PACK MASTER 1 UNIDADE,INSTRUMENTO_PERCUSSAO_METAL,{}
20,MICHAEL,ESTOJO PARA VIOLINO - VNMCA4,"Estojo para violino 4/4. Porta-objetos, bolso externo, alça de mão e alça tipo mochila.",182.7,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: ECHAEL || MODELO: ESTOJO PARA VIOLINO - VNMCA4 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: ESTOJO PARA VIOLINO 4 4 PORTA-OBJETOS BOLSO EXTERNO ALÇA DE MÃO E ALÇA TIPO MOCHIA,INSTRUMENTO_CORDA,{'AFINACAO': ['E']}
21,MICHAEL,BAD DE PAD DE PERCUSSÃO - DMXBG20,Bag tipo mochila para PAD de percussão com alça e bolso externo com ziper. Pack Master 1 unidade.,204.4,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: ECHAEL || MODELO: BAD DE PAD DE PERCUSSÃO - DMXBG20 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: BAG TIPO MOCHIA PARA PAD DE PERCUSSÃO COM ALÇA E BOLSO EXTERNO COM ZIPER PACK MASTER 1 UNIDADE,OUTROS,{'AFINACAO': ['E']}
22,MICHAEL,TOM AVULSO CLASSIC - HM1008KL BU,"Tom Avulso Classic Lacquer 10""x Q8"", casco em Basswood, Laqueado, acompanha extensor e adaptador e é equipado com pele de ataque Michael NPSM e de resposta Michael NCLM. Cor: Blue Sunburst (BU)",229.6,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_PELE || CONTEXTO: instrumento musical percussao pele bateria orquestra || MARCA: ECHAEL || MODELO: TOM AVULSO CASBC - HM1008KL BU || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: TOM AVULSO CASBC ACQUER 10 X Q8 CASCO EM BASSWOOD AQUEAC ACOMPANHA EXTENSOR E ADAPTACR E É EQUIPAC COM PELE DE ATAQUE ECHAEL NPSM E DE DSPOSTA ECHAEL NCLM COR BLUE SUNBURST (BU),INSTRUMENTO_PERCUSSAO_PELE,{'AFINACAO': ['E']}
23,MICHAEL,TOM AVULSO CLASSIC - HM1008KL BS,"Tom Avulso Classic Lacquer 10""x Q8"", casco em Basswood, Laqueado, acompanha extensor e adaptador e é equipado com pele de ataque Michael NPSM e de resposta Michael NCLM. Cor: Brown Sunburst (BS)",229.6,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_PELE || CONTEXTO: instrumento musical percussao pele bateria orquestra || MARCA: ECHAEL || MODELO: TOM AVULSO CASBC - HM1008KL BS || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: TOM AVULSO CASBC ACQUER 10 X Q8 CASCO EM BASSWOOD AQUEAC ACOMPANHA EXTENSOR E ADAPTACR E É EQUIPAC COM PELE DE ATAQUE ECHAEL NPSM E DE DSPOSTA ECHAEL NCLM COR BROWN SUNBURST (BS),INSTRUMENTO_PERCUSSAO_PELE,{'AFINACAO': ['E']}
24,MICHAEL,TOM AVULSO CLASSIC - HM1008KL NA,"Tom Avulso Classic Lacquer 10""x Q8"", casco em Basswood, Laqueado, acompanha extensor e adaptador e é equipado com pele de ataque Michael NPSM e de resposta Michael NCLM. Cor: Natural (NA)",229.6,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_PELE || CONTEXTO: instrumento musical percussao pele bateria orquestra || MARCA: ECHAEL || MODELO: TOM AVULSO CASBC - HM1008KL NA || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: TOM AVULSO CASBC ACQUER 10 X Q8 CASCO EM BASSWOOD AQUEAC ACOMPANHA EXTENSOR E ADAPTACR E É EQUIPAC COM PELE DE ATAQUE ECHAEL NPSM E DE DSPOSTA ECHAEL NCLM COR NATURAL (NA),INSTRUMENTO_PERCUSSAO_PELE,{'AFINACAO': ['E']}
25,MICHAEL,TOM AVULSO CLASSIC - HM1008KL RS,"Tom Avulso Classic Lacquer 10""x Q8"", casco em Basswood, Laqueado, acompanha extensor e adaptador e é equipado com pele de ataque Michael NPSM e de resposta Michael NCLM. Cor: Orange Sunburt (RS)",229.6,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_PELE || CONTEXTO: instrumento musical percussao pele bateria orquestra || MARCA: ECHAEL || MODELO: TOM AVULSO CASBC - HM1008KL RS || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: TOM AVULSO CASBC ACQUER 10 X Q8 CASCO EM BASSWOOD AQUEAC ACOMPANHA EXTENSOR E ADAPTACR E É EQUIPAC COM PELE DE ATAQUE ECHAEL NPSM E DE DSPOSTA ECHAEL NCLM COR ORANGE SUNBURT (RS),INSTRUMENTO_PERCUSSAO_PELE,{'AFINACAO': ['E']}
26,MICHAEL,PAD LANÇAMENTO - DMXPD07,Pad Mesh Ultrafina 8” Dual Zone. Pack Master 1 unidade,245.7,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: ECHAEL || MODELO: PAD ANÇAMENTO - DMXPD07 || DESCRICAO_MUSICAL: PAD MESH ULTRAFINA 8 DUAL ZONE PACK MASTER 1 UNIDADE,OUTROS,{}
27,MICHAEL,"LINHA GO PLAY Violão Acústico Infantil - Nylon - VM09E 1/4 - 30"" 76cm","Violão clássico acústico infantil, tampo em Linden, braço em Basswood, cavalete e escala em Dark Maple, tarraxas douradas, trastes em Níquel Silver e encordoamento nylon (tensão normal). Cores: Natural (NA) e Preto (BK).",252.7,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: ECHAEL || MODELO: LINHA GO PAY VIOLÃO ACÚSTICO INFNTIL - NYLON - VM09E 1 4 - 30 76CM || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: VIOLÃO CLÁSBCO ACÚSTICO INFNTIL TAMPO EM LINDEN BRAÇO EM BASSWOOD CAVALETE E ESCAA EM DARK MAPLE TARRAXAS CURADAS TRASTES EM NÍQUEL BLVER E ENCORCAMENTO NYLON (TENSÃO NORMAL) CODS NATURAL (NA) E PDTO (BK),INSTRUMENTO_CORDA,{'AFINACAO': ['E']}
28,MICHAEL,"LINHA GO PLAY Violão Acústico Infantil - Nylon - VM11E 1/2 - 34"" 86cm","Violão clássico acústico infantil, tampo em Linden, braço em Basswood, cavalete e escala em Dark Maple, tarraxas douradas, trastes em Níquel Silver e encordoamento nylon (tensão normal). Cores: Natural (NA), e Preto (BK).",261.8,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: ECHAEL || MODELO: LINHA GO PAY VIOLÃO ACÚSTICO INFNTIL - NYLON - VM11E 1 2 - 34 86CM || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: VIOLÃO CLÁSBCO ACÚSTICO INFNTIL TAMPO EM LINDEN BRAÇO EM BASSWOOD CAVALETE E ESCAA EM DARK MAPLE TARRAXAS CURADAS TRASTES EM NÍQUEL BLVER E ENCORCAMENTO NYLON (TENSÃO NORMAL) CODS NATURAL (NA) E PDTO (BK),INSTRUMENTO_CORDA,{'AFINACAO': ['E']}
29,MICHAEL,"LINHA GO PLAY Violão Acústico Infantil - Nylon - VM13E 3/4 - 36"" 92cm","Violão clássico acústico infantil, tampo em Linden, braço em Basswood, cavalete e escala em Dark Maple, tarraxas douradas, trastes em Níquel Silver e encordoamento nylon (tensão normal). Cores: Natural (NA), e Preto (BK).",269.5,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: ECHAEL || MODELO: LINHA GO PAY VIOLÃO ACÚSTICO INFNTIL - NYLON - VM13E 3 4 - 36 92CM || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: VIOLÃO CLÁSBCO ACÚSTICO INFNTIL TAMPO EM LINDEN BRAÇO EM BASSWOOD CAVALETE E ESCAA EM DARK MAPLE TARRAXAS CURADAS TRASTES EM NÍQUEL BLVER E ENCORCAMENTO NYLON (TENSÃO NORMAL) CODS NATURAL (NA) E PDTO (BK),INSTRUMENTO_CORDA,{'AFINACAO': ['E']}
30,MICHAEL,PAD LANÇAMENTO - DMXPD09,Pad Mesh Ultrafina 10” Dual Zone. Pack Master 1 unidade,278.6,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: ECHAEL || MODELO: PAD ANÇAMENTO - DMXPD09 || DESCRICAO_MUSICAL: PAD MESH ULTRAFINA 10 DUAL ZONE PACK MASTER 1 UNIDADE,OUTROS,{}
31,MICHAEL,ESTOJO PARA VIOLINO - VNMCA7,"Estojo profissional retangular para violino 4/4. 3 Porta objetos e compartimento para 4 arcos, alça tiracolo e 2 alças externas.",287.0,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: ECHAEL || MODELO: ESTOJO PARA VIOLINO - VNMCA7 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: ESTOJO PROFISBONAL DTANGUAR PARA VIOLINO 4 4 3 PORTA OBJETOS E COMPARTIMENTO PARA 4 ARCOS ALÇA TIRACOLO E 2 ALÇAS EXTERNAS,INSTRUMENTO_CORDA,{'AFINACAO': ['E']}
32,MICHAEL,HARDWARE LANÇAMENTO - DMXHW03,Pés para Pack Easy Flex. Pack Master 1 unidade,333.9,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: ECHAEL || MODELO: HARDWAD ANÇAMENTO - DMXHW03 || DESCRICAO_MUSICAL: PÉS PARA PACK EASY FLEX PACK MASTER 1 UNIDADE,OUTROS,{}
33,MICHAEL,TOM AVULSO LEGACY - DMLT0807,"Tom avulso série legacy Q8"" x 07"", casco em poplar equipado com pele filme duplo acompanha sistema de suspensão M.S.3, ton holder com esfera e adaptador clamp. Cores: Sparkle Marine Blue (SMB), Sparkle Silver (SSR) e Sparkle Black (SBK)",410.2,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_PELE || CONTEXTO: instrumento musical percussao pele bateria orquestra || MARCA: ECHAEL || MODELO: TOM AVULSO LEGACY - DMLT0807 || ESPECIFICACOES_MUSICAIS: AFINACAO: E | DIMENSAO_INSTRUMENTO: 07 8 || DESCRICAO_MUSICAL: TOM AVULSO SÉRIE LEGACY Q8 X 07 CASCO EM POPAR EQUIPAC COM PELE FILME DUPLO ACOMPANHA BSTEMA DE SUSPENSÃO M S 3 TON HOLDER COM ESFERA E ADAPTACR CAMP CODS SPARKLE MARINE BLUE (SMB) SPARKLE BLVER (SSR) E SPARKLE BACK (SBK),INSTRUMENTO_PERCUSSAO_PELE,"{'AFINACAO': ['E'], 'DIMENSAO_INSTRUMENTO': ['07', '8']}"
34,MICHAEL,LINHA TRADICIONAL - VNM08,"Violino 1/8 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",446.6,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: ECHAEL || MODELO: LINHA TRADICIONAL - VNM08 || ESPECIFICACOES_MUSICAIS: AFINACAO: E | MATERIAL_ACABAMENTO: VERNIZ DE VERNIZ TRANSL || DESCRICAO_MUSICAL: VIOLINO 1 8 TRADICIONAL ACABAMENTO DE VERNIZ TRANSLÚCIC AVERMELHAC TAMPO SPRUCE (ABETO) MACIÇO FIXAS E FUNC DE MAPLE 4 ECROAFINACDS E FILETE DE MADEIRA ENCRUSTAC NAS BORDAS ACESSÓRIOS ESTOJO TÉRECO COM HIGRÔMETRO BDU E 1 ARCO DE CRINA ANIMAL,INSTRUMENTO_CORDA,"{'AFINACAO': ['E'], 'MATERIAL_ACABAMENTO': ['VERNIZ', 'DE VERNIZ TRANSL']}"
35,MICHAEL,LINHA TRADICIONAL Violino Infantil 1/8 - VNM08,"Violino 1/8 Tradicional, acabamento de Verniz Translúcido Avermelhado, tampo Spruce (Abeto) maciço, faixas e fundo de Maple, 4 microafinadores e filete de madeira encrustado nas bordas. Acessórios: Estojo térmico com higrômetro, breu e 1 arco de crina animal.",446.6,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: ECHAEL || MODELO: LINHA TRADICIONAL VIOLINO INFNTIL 1 8 - VNM08 || ESPECIFICACOES_MUSICAIS: AFINACAO: E | MATERIAL_ACABAMENTO: VERNIZ DE VERNIZ TRANSL || DESCRICAO_MUSICAL: VIOLINO 1 8 TRADICIONAL ACABAMENTO DE VERNIZ TRANSLÚCIC AVERMELHAC TAMPO SPRUCE (ABETO) MACIÇO FIXAS E FUNC DE MAPLE 4 ECROAFINACDS E FILETE DE MADEIRA ENCRUSTAC NAS BORDAS ACESSÓRIOS ESTOJO TÉRECO COM HIGRÔMETRO BDU E 1 ARCO DE CRINA ANIMAL,INSTRUMENTO_CORDA,"{'AFINACAO': ['E'], 'MATERIAL_ACABAMENTO': ['VERNIZ', 'DE VERNIZ TRANSL']}"
36,MICHAEL,TOM AVULSO ELEVATION - TE0807,"Tom avulso série Elevation Q8""x 07"" com 12 afinações, casco em Poplar de 7mm e 6 folhas, revestimento de celuloide, equipado com pele duplo filme Michael by Remo. Cor: Preto Sparkle (BKS)",452.2,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_PELE || CONTEXTO: instrumento musical percussao pele bateria orquestra || MARCA: ECHAEL || MODELO: TOM AVULSO ELEVATION - TE0807 || ESPECIFICACOES_MUSICAIS: AFINACAO: E | DIMENSAO_INSTRUMENTO: 07 8 || DESCRICAO_MUSICAL: TOM AVULSO SÉRIE ELEVATION Q8 X 07 COM 12 AFINAÇÕES CASCO EM POPAR DE 7MM E 6 FOLHAS DVESTIMENTO DE CELULOIDE EQUIPAC COM PELE DUPLO FILME ECHAEL BY DMO COR PDTO SPARKLE (BKS),INSTRUMENTO_PERCUSSAO_PELE,"{'AFINACAO': ['E'], 'DIMENSAO_INSTRUMENTO': ['07', '8']}"
37,MICHAEL,PAD LANÇAMENTO - DMXPD13,Pad Mesh Ultrafina de Bumbo 8”. Pack Master 1 unidade,492.1,CATEGORIA_MUSICAL: INSTRUMENTO_PERCUSSAO_PELE || CONTEXTO: instrumento musical percussao pele bateria orquestra || MARCA: ECHAEL || MODELO: PAD ANÇAMENTO - DMXPD13 || DESCRICAO_MUSICAL: PAD MESH ULTRAFINA DE BUMBO 8 PACK MASTER 1 UNIDADE,INSTRUMENTO_PERCUSSAO_PELE,{}
