,Marca,Modelo,Descrição,Valor,texto_embedding_melhorado,categoria_identificada
24,DATREL,PA 5.000,AmplifiCador de potencia toca 4 AF 12” - 150W   ,892.18,CATEGORIA: AMPLIFICADOR | MARCA: DATREL | MODELO: PA 5 000 | ESPECIFICACOES: POTENCIA: 150 4 | AFINADORES: 4 | DESCRICAO: Amplificador de potencia potencia 4 AF 12” - 150W   ,AMPLIFICADOR
25,DATREL,GUITAR 1X12,"Cubo de Guitarra 12"" 150 W ",908.3,"CATEGORIA: CUBO_AMPLIFICADO | MARCA: DATREL | MODELO: GUITAR 1X12 | ESPECIFICACOES: POTENCIA: 150 | POLEGADAS: 12 | DESCRICAO: Cubo de Guitarra 12"" 150 W ",CUBO_AMPLIFICADO
26,DATREL,MP 15.300,"Monitor passivo 15"" 300 W ",911.4,"CATEGORIA: CAIXA_PASSIVA | MARCA: DATREL | MODELO: MP 15 300 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | DESCRICAO: Monitor passivo 15"" 300 W ",CAIXA_PASSIVA
27,DATREL,MA 12.250,"Monitor ativo 12"" 250 W ",937.4399999999999,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: MA 12 250 | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | DESCRICAO: Monitor ativo 12"" 250 W ",CAIXA_ATIVA
28,DATREL,AT 10.200 b,"Caixa Ativa 10"" 200W bluetooth",946.74,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT 10 200 B | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa 10"" 200W bluetooth",CAIXA_ATIVA
29,DATREL,KIT8-150BLU,"Caixa Ativa e Passiva 8"" 150 W bluetooth",995.72,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT8 150BLU | ESPECIFICACOES: POTENCIA: 150 | POLEGADAS: 8 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa e Passiva 8"" 150 W bluetooth",CAIXA_ATIVA
30,DATREL,SW 400,"Caixa Sub Woofer passivo 15"" 400 W ",1009.36,"CATEGORIA: CAIXA_PASSIVA | MARCA: DATREL | MODELO: SW 400 | ESPECIFICACOES: POTENCIA: 400 | POLEGADAS: 15 | DESCRICAO: Caixa Sub Woofer passivo 15"" 400 W ",CAIXA_PASSIVA
31,DATREL,AT 12.250,"Caixa Ativa 12"" 250W ",1015.56,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT 12 250 | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | DESCRICAO: Caixa Ativa 12"" 250W ",CAIXA_ATIVA
32,DATREL,BAS1X15,"Caixa Bass 1 AF 15 - 4 ohms 1x15"" 300 W ",1045.94,"CATEGORIA: CAIXA_SOM | MARCA: DATREL | MODELO: BAS1X15 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | OHMS: 4 | DIMENSAO: 15 1 | AFINADORES: 1 | DESCRICAO: Caixa Bass 1 AF 15 - 4 ohms 1x15"" 300 W ",CAIXA_SOM
33,DATREL,DA 15.500,"Caixa Passiva 15"" 500 W ",1060.2,"CATEGORIA: CAIXA_PASSIVA | MARCA: DATREL | MODELO: DA 15 500 | ESPECIFICACOES: POTENCIA: 500 | POLEGADAS: 15 | DESCRICAO: Caixa Passiva 15"" 500 W ",CAIXA_PASSIVA
34,DATREL,PA 8.000,AmplifiCador de potencia toca 4 AF 12” - 200W   ,1067.02,CATEGORIA: AMPLIFICADOR | MARCA: DATREL | MODELO: PA 8 000 | ESPECIFICACOES: POTENCIA: 200 4 | AFINADORES: 4 | DESCRICAO: Amplificador de potencia potencia 4 AF 12” - 200W   ,AMPLIFICADOR
35,DATREL,SWA 300,"Caixa Sub Woofer ativo 12"" 300 W ",1080.66,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: SWA 300 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 12 | DESCRICAO: Caixa Sub Woofer ativo 12"" 300 W ",CAIXA_ATIVA
36,DATREL,BAS200,"Cubo Baixo 12"" 12"" 200W ",1086.24,"CATEGORIA: CUBO_AMPLIFICADO | MARCA: DATREL | MODELO: BAS200 | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 12 | DESCRICAO: Cubo Baixo 12"" 12"" 200W ",CUBO_AMPLIFICADO
37,DATREL,BAS400,Amplif. Baixo - 4 ohms  400 W ,1086.86,CATEGORIA: OUTROS | MARCA: DATREL | MODELO: BAS400 | ESPECIFICACOES: POTENCIA: 400 | OHMS: 4 | DESCRICAO: Amplif. Baixo - 4 ohms  400 W ,OUTROS
38,DATREL,AT 12.250 b,"Caixa Ativa 12"" 250W bluetooth",1088.72,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT 12 250 B | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa 12"" 250W bluetooth",CAIXA_ATIVA
39,DATREL,AT 15.300,"Caixa Ativa 15"" 300 W ",1174.28,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT 15 300 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | DESCRICAO: Caixa Ativa 15"" 300 W ",CAIXA_ATIVA
40,DATREL,MA 15.300,"Monitor ativo 15"" 300 W ",1187.3,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: MA 15 300 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | DESCRICAO: Monitor ativo 15"" 300 W ",CAIXA_ATIVA
41,DATREL,KIT10-200N,"Caixa Ativa e Passiva 10"" 200W ",1220.78,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT10 200N | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | DESCRICAO: Caixa Ativa e Passiva 10"" 200W ",CAIXA_ATIVA
42,DATREL,AT10X2,"Caixa Ativa ( 4 ohms) 10"" 300W bluetooth",1228.22,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT10X2 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 10 | OHMS: 4 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa ( 4 ohms) 10"" 300W bluetooth",CAIXA_ATIVA
43,DATREL,KIT10-200MON,"Monitor ativo e passivo 10"" 200W ",1235.04,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT10 200MON | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | DESCRICAO: Monitor ativo e passivo 10"" 200W ",CAIXA_ATIVA
44,DATREL,PA 10.000,Amplificador de potenciatoca 4 AF 15” - 250W   ,1248.68,CATEGORIA: AMPLIFICADOR | MARCA: DATREL | MODELO: PA 10 000 | ESPECIFICACOES: POTENCIA: 250 4 | AFINADORES: 4 | DESCRICAO: Amplificador de potencia 4 AF 15” - 250W   ,AMPLIFICADOR
45,DATREL,KIT10-200BLU,"Caixa Ativa e Passiva 10"" 200W bluetooth",1277.2,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT10 200BLU | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa e Passiva 10"" 200W bluetooth",CAIXA_ATIVA
46,DATREL,KIT10-200TBL,"Caixa Ativa e Passiva 10"" 200W bluetooth",1277.2,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT10 200TBL | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa e Passiva 10"" 200W bluetooth",CAIXA_ATIVA
47,DATREL,AT 15.300 b,"Caixa Ativa 15"" 300 W bluetooth",1292.7,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT 15 300 B | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa 15"" 300 W bluetooth",CAIXA_ATIVA
48,DATREL,BAS800,Amplif. Baixo - 2X8 ohms  800 W ,1324.32,CATEGORIA: OUTROS | MARCA: DATREL | MODELO: BAS800 | ESPECIFICACOES: POTENCIA: 800 | OHMS: 8 | DIMENSAO: 2 8 | DESCRICAO: Amplif. Baixo - 2X8 ohms  800 W ,OUTROS
49,DATREL,KIT10-200NT,"Caixa Ativa e Passiva 10"" 200W ",1369.58,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT10 200NT | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | DESCRICAO: Caixa Ativa e Passiva 10"" 200W ",CAIXA_ATIVA
50,DATREL,KIT10-200MT,"Monitor ativo e passivo 10"" 200W ",1379.5,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT10 200MT | ESPECIFICACOES: POTENCIA: 200 | POLEGADAS: 10 | DESCRICAO: Monitor ativo e passivo 10"" 200W ",CAIXA_ATIVA
51,DATREL,BAS300,"Cubo  de Baixo 15"" 15"" 300W ",1422.9,"CATEGORIA: CUBO_AMPLIFICADO | MARCA: DATREL | MODELO: BAS300 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | DESCRICAO: Cubo  de Baixo 15"" 15"" 300W ",CUBO_AMPLIFICADO
52,DATREL,KIT12-250N,"Caixa Ativa e Passiva 12"" 250 W ",1509.7,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT12 250N | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | DESCRICAO: Caixa Ativa e Passiva 12"" 250 W ",CAIXA_ATIVA
53,DATREL,AT 15.500,"Caixa Ativa 15"" 500 W ",1527.06,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT 15 500 | ESPECIFICACOES: POTENCIA: 500 | POLEGADAS: 15 | DESCRICAO: Caixa Ativa 15"" 500 W ",CAIXA_ATIVA
54,DATREL,KIT12-250MON,"Monitor ativo e passivo 12"" 250W ",1528.3,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT12 250MON | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | DESCRICAO: Monitor ativo e passivo 12"" 250W ",CAIXA_ATIVA
55,DATREL,BAS4X10,"Caixa Bass 4 AF 10 - 4 ohms 4x10"" 400 W ",1541.94,"CATEGORIA: CAIXA_SOM | MARCA: DATREL | MODELO: BAS4X10 | ESPECIFICACOES: POTENCIA: 400 | POLEGADAS: 10 | OHMS: 4 | DIMENSAO: 4 10 | AFINADORES: 4 | DESCRICAO: Caixa Bass 4 AF 10 - 4 ohms 4x10"" 400 W ",CAIXA_SOM
56,DATREL,KIT12-250BLU,"Caixa Ativa e Passiva 12"" 250 W bluetooth",1584.72,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT12 250BLU | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa e Passiva 12"" 250 W bluetooth",CAIXA_ATIVA
57,DATREL,SWA 400,"Caixa Sub Woofer ativo 15"" 400 W ",1617.58,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: SWA 400 | ESPECIFICACOES: POTENCIA: 400 | POLEGADAS: 15 | DESCRICAO: Caixa Sub Woofer ativo 15"" 400 W ",CAIXA_ATIVA
58,DATREL,AT12X2,"Caixa Ativa ( 4 ohms) 12"" 400W bluetooth",1627.5,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT12X2 | ESPECIFICACOES: POTENCIA: 400 | POLEGADAS: 12 | OHMS: 4 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa ( 4 ohms) 12"" 400W bluetooth",CAIXA_ATIVA
59,DATREL,KIT HDSDSOO,"Cabo M. Uso + 02 Caixas 12"" CE 250P  250 W ",1648.58,"CATEGORIA: CABO_CONECTOR | MARCA: DATREL | MODELO: KIT HDSDSOO | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | DESCRICAO: Cabo M. Uso + 02 Caixas 12"" CE 250P  250 W ",CABO_CONECTOR
60,DATREL,AT 15.500 b,"Caixa Ativa 15"" 500 W bluetooth",1675.24,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT 15 500 B | ESPECIFICACOES: POTENCIA: 500 | POLEGADAS: 15 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa 15"" 500 W bluetooth",CAIXA_ATIVA
61,DATREL,KIT12-250NT,"Caixa Ativa e Passiva 12"" 250 W ",1726.7,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT12 250NT | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | DESCRICAO: Caixa Ativa e Passiva 12"" 250 W ",CAIXA_ATIVA
62,DATREL,KIT12-250MT,"Monitor ativo e passivo 12"" 250W ",1734.14,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT12 250MT | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | DESCRICAO: Monitor ativo e passivo 12"" 250W ",CAIXA_ATIVA
63,DATREL,KITSWA12-300,"Sub Woofer ativo e passivo 12"" 300 W ",1740.34,"CATEGORIA: SUBWOOFER | MARCA: DATREL | MODELO: KITSWA12 300 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 12 | DESCRICAO: Sub Woofer ativo e passivo 12"" 300 W ",SUBWOOFER
64,DATREL,KIT12-250TBL,"Caixa Ativa e Passiva 12"" 250 W bluetooth",1799.86,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT12 250TBL | ESPECIFICACOES: POTENCIA: 250 | POLEGADAS: 12 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa e Passiva 12"" 250 W bluetooth",CAIXA_ATIVA
65,DATREL,AT15X2,"Caixa Ativa ( 4 ohms) 15"" 500 W bluetooth",1807.3,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: AT15X2 | ESPECIFICACOES: POTENCIA: 500 | POLEGADAS: 15 | OHMS: 4 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa ( 4 ohms) 15"" 500 W bluetooth",CAIXA_ATIVA
66,DATREL,KIT15-300NT,"Caixa Ativa e Passiva 15"" 300 W ",2013.14,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT15 300NT | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | DESCRICAO: Caixa Ativa e Passiva 15"" 300 W ",CAIXA_ATIVA
67,DATREL,KIT15-300MON,"Monitor ativo e passivo 15"" 300W ",2098.7,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT15 300MON | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | DESCRICAO: Monitor ativo e passivo 15"" 300W ",CAIXA_ATIVA
68,DATREL,KIT15-300BLU,"Caixa Ativa e Passiva 15"" 300 W bluetooth",2131.56,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT15 300BLU | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa e Passiva 15"" 300 W bluetooth",CAIXA_ATIVA
69,DATREL,KIT1X15,"Caixa Bass 1 AF 15 - 4 ohms + BAS 400 1x15"" 300 W ",2154.5,"CATEGORIA: CAIXA_SOM | MARCA: DATREL | MODELO: KIT1X15 | ESPECIFICACOES: POTENCIA: 300 | POLEGADAS: 15 | OHMS: 4 | DIMENSAO: 15 1 | AFINADORES: 1 | DESCRICAO: Caixa Bass 1 AF 15 - 4 ohms + BAS 400 1x15"" 300 W ",CAIXA_SOM
70,DATREL,KSWAVOX8.0,Kswa300 /Vox8.0 mixer ATIVO 500 W bluetooth,2161.94,CATEGORIA: MESA_SOM | MARCA: DATREL | MODELO: KSWAVOX8 0 | ESPECIFICACOES: POTENCIA: 500 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Kswa300 /Vox8.0 mixer ATIVO 500 W bluetooth,MESA_SOM
71,DATREL,PA20.0,AmplifiCador de potencia toca 4 AF 18” - SOOW   ,2217.12,CATEGORIA: AMPLIFICADOR | MARCA: DATREL | MODELO: PA20 0 | ESPECIFICACOES: POTENCIA: 4 | AFINADORES: 4 | DESCRICAO: Amplificador de potencia potencia 4 AF 18” - W   ,AMPLIFICADOR
72,DATREL,KIT15-SOONT,"Caixa Ativa e Passiva 15"" 500 W ",2587.26,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT15 SOONT | ESPECIFICACOES: POTENCIA: 500 | POLEGADAS: 15 | DESCRICAO: Caixa Ativa e Passiva 15"" 500 W ",CAIXA_ATIVA
73,DATREL,KITSWA15-400,"Sub Woofer ativo e passivo 15"" 400 W ",2626.94,"CATEGORIA: SUBWOOFER | MARCA: DATREL | MODELO: KITSWA15 400 | ESPECIFICACOES: POTENCIA: 400 | POLEGADAS: 15 | DESCRICAO: Sub Woofer ativo e passivo 15"" 400 W ",SUBWOOFER
74,DATREL,KIT4X10,"Caixa Bass 4 AF 10 - 4 ohms + BAS 400 4x10"" 400 W ",2628.8,"CATEGORIA: CAIXA_SOM | MARCA: DATREL | MODELO: KIT4X10 | ESPECIFICACOES: POTENCIA: 400 | POLEGADAS: 10 | OHMS: 4 | DIMENSAO: 4 10 | AFINADORES: 4 | DESCRICAO: Caixa Bass 4 AF 10 - 4 ohms + BAS 400 4x10"" 400 W ",CAIXA_SOM
75,DATREL,KIT15-SOOBLU,"Caixa Ativa e Passiva 15"" 500 W bluetooth",2735.44,"CATEGORIA: CAIXA_ATIVA | MARCA: DATREL | MODELO: KIT15 SOOBLU | ESPECIFICACOES: POTENCIA: 500 | POLEGADAS: 15 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: Caixa Ativa e Passiva 15"" 500 W bluetooth",CAIXA_ATIVA
76,DATREL,KSWAVOX 12,kit swa300/vox4.0  COMPLETO ativo/pas. 500 W bluetooth,3393.26,CATEGORIA: OUTROS | MARCA: DATREL | MODELO: KSWAVOX 12 | ESPECIFICACOES: POTENCIA: 500 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: kit swa300/vox4.0  COMPLETO ativo/pas. 500 W bluetooth,OUTROS
77,DATREL,COMBO,Caixa Bass 1x15 + 4x10 + BAS 800  800 W ,3912.2,CATEGORIA: CAIXA_SOM | MARCA: DATREL | MODELO: COMBO | ESPECIFICACOES: POTENCIA: 800 | DIMENSAO: 15 4 1 | DESCRICAO: Caixa Bass 1x15 + 4x10 + BAS 800  800 W ,CAIXA_SOM
78,DATREL,KSWAVOX 15,kit swa400/vox4.0  COMPLETO ativo/pas. 600 W bluetooth,4584.28,CATEGORIA: OUTROS | MARCA: DATREL | MODELO: KSWAVOX 15 | ESPECIFICACOES: POTENCIA: 600 | BLUETOOTH: BLUETOOTH | RECURSOS: BLUETOOTH | DESCRICAO: kit swa400/vox4.0  COMPLETO ativo/pas. 600 W bluetooth,OUTROS
