,Marca,Modelo,Descrição,Valor
90,DYLAN,SMD-100,MICROFONE DINAMICO CARDIOIDE COM CABO Caixa com 30 peças,66.0
91,DYLAN,CAP-9500B,CÁPSULA PARA MICROFONE D-9500,69.09
92,DYLAN,GB-9000S,GLOBO PARA MICROFONE D-9000,70.35
93,DYLAN,DE-215,EAR PHONE 1 DRIVE POR LADO Caixa com 20 peças,99.0
94,DYLAN,SMD-57,MICROFONE DINAMICO CARDIOIDE COM CABO Caixa com 10 peças,100.0
95,DYLAN,SMD-58 PLUS,MICROFONE DINAMICO CARDIOIDE COM CABO Caixa com 10 peças,101.0
96,DYLAN,DG-10,GOOSENECK Caixa com 10 peças,103.0
97,DYLAN,DE-225 BRANCO OU PRETO,EAR PHONE 2 DRIVES POR LADO Caixa com 20 peças,112.0
98,DYLAN,DLS-8 CHAMPANHE OU PRETO,MICROFONE DINAMICO CARDIOIDE COM CABO Caixa com 10 peças,144.0
99,DYLAN,DI-400,FONE DE OUVIDO COMPACTO PRA PALCO Caixa com 10 peças,170.0
100,DYLAN,DI-640,FONE DE OUVIDO Caixa com 10 peças,195.0
101,DYLAN,DG-50,GOOSENECK Caixa com 10 peças,236.0
102,DYLAN,DS-81 SHOTGUN,MICROFONE SHOTGUN Caixa com 10 peças,242.0
103,DYLAN,DLS-9,MICROFONE DINAMICO SUPER CARDIOIDE COM CASE Caixa com 10 peças,245.0
104,DYLAN,DI-2,MICROFONE CONDENSER OVERHEAD Caixa com 10 peças,248.0
105,DYLAN,DI-700 BT,FONE DE OUVIDO SEM FIO BLUETOOTH COM CANCELAMENTO DE RUIDO Caixa com 10 peças,270.0
106,DYLAN,DI-840,FONE DE OUVIDO Caixa com 10 peças,282.0
107,DYLAN,DE-635,EAR PHONE 3 DRIVES POR LADO Caixa com 20 peças,291.0
108,DYLAN,DG-86,GOOSENECK Caixa com 10 peças,299.0
109,DYLAN,DLS-10 PLUS,MICROFONE DINAMICO SUPER CARDIOIDE COM CASE Caixa com 10 peças,307.0
110,DYLAN,UDX-01 MULTI,"Sistema de transmissão sem fio UHF composto de 1 receptor com 1 antena fixa, 1 bastão transmissor com 30 canais e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 663,5 – 693,5 MHz",376.0
111,DYLAN,DM-5,MICROFONE PODCAST DINÂMICO CARDIOIDE Caixa com 10 peças,389.0
112,DYLAN,DG-90,GOOSENECK Caixa com 10 peças,427.0
113,DYLAN,DE-845,EAR PHONE 4 DRIVES POR LADO Caixa com 20 peças,455.0
114,DYLAN,UDX-03 MULTI,"Sistema de transmissão sem fio UHF composto de 1 receptor com 1 antena fixa, 1 transmissor bodypack com 30 canais, 1 microfone de cabeça (headset), 1 microfone de lapela + cabo p/ instrumentos e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado anatel. Range de frequência 663,5 – 693,5 MHz",501.0
115,DYLAN,DH-55,MICROFONE HEADSET CONDENSER DIRECIONAL COM 3 PLUGS Caixa com 10 peças,502.0
116,DYLAN,UDX-02 MULTI,"Sistema de transmissão sem fio UHF composto de 1 receptor com 2 antenas fixas, 2 bastões transmissores com 30 canais cada e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado anatel. Range de frequência 663,5 – 693,5 MHz",583.0
117,DYLAN,DH-77,MICROFONE HEADSET CONDENSER OMNIDIRECIONAL Caixa com 10 peças,784.0
118,DYLAN,UDX-05 MULTI,"Sistema de transmissão sem fio UHF composto de 1 receptor com 2 antenas fixas, 1 bastão transmissor modelo UDX-02 + 1 Bopdypack UDX-03, com 30 canais cada + headset + lapela + cabo p/ instrumento e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 663,5 – 693,5 MHz",795.0
119,DYLAN,DM-7,MICROFONE PODCAST DINAMICO CARDIOIDE COM PRÉ ACIONADO VIA PHANTON POWER Caixa com 10 peças,825.0
120,DYLAN,UDX-06 MULTI,"Sistema de transmissão sem fio UHF composto de 1 receptor com duas antenas fixas, 2 transmissores bodypacks com 30 canais cada + 2 microfones de cabeça (headset), 2 microfones de lapela + 2 cabos p/ instrumentos e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 663,5 – 693,5 MHz",833.0
121,DYLAN,DW-902 POWER,"Sistema de transmissão sem fio UHF composto de 1 receptor com 2 antenas fixas, 2 bastões transmissores com 100 canais cada e baterias de lithium recarregáveis e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Modulação digital DQPSK. Certificado Anatel. Range de frequência 622 – 684 MHz",871.0
122,DYLAN,DH-88,MICROFONE HEADSET CONDENSER DIRECIONAL Caixa com 10 peças,916.0
123,DYLAN,D-9001S,"Sistema de transmissão sem fio UHF composto de 1 receptor com 2 antenas BNC, 1 bastão transmissor com 100 canais e atenuador de ganho de -10 dB e 1 fonte de Alimentação 110/220v acondicionados em maleta plástica. Certificado Anatel. Range de frequência 530 a 580 MHz  640 a 690 MHz",921.0
124,DYLAN,DSM-301,Sistema de monitoramento de palco sem fio c/1 bodypack + 1 fone + 1 fonte de Alimentação 110/220v acondicionados em maleta plástica. Certificado Anatel. Range de frequência 530 a 580 MHz  630 a 680 MHz,938.0
125,DYLAN,UDX-33 GS,"Sistema de transmissão sem fio UHF composto de 1 receptor com duas antenas fixas, 2 bases transmissoras com 30 canais cada + 2 microfones gooseneck DG-11 e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 663,5 – 693,5 MHz",950.0
126,DYLAN,DD-7,KIT PRA BATERIA COM 7 PEÇAS Caixa com 2 peças,1020.0
127,DYLAN,D-8000,"Sistema de transmissao sem fio UHF composto de 1 receptor com 2 antenas BNC, 2 bastões transmissores com 100 canais cada e 1 fonte de Alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 530 a 580 MHz  640 a 690 MHz",1174.0
128,DYLAN,DM-8,MICROFONE PODCAST DINÂMICO CARDIOIDE + CABO USB C PARA USO COM APP IOS + ANDROID Caixa com 10 peças,1199.0
129,DYLAN,D-9003S,"Sistema de transmissao sem fio UHF composto de 1 receptor com 2 antenas BNC, 1 transmissor bodypack com 100 canais, um headset + 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 530 a 580 MHz  640 a 690 MHz",1200.0
130,DYLAN,DD-9,KIT PRA BATERIA COM 9 PEÇAS Caixa com 2 peças,1236.0
131,DYLAN,D-9501,"Sistema de transmissão sem fio UHF true diversity composto de 1 receptor padrão rack com 2 antenas BNC, 1 bastão transmissor com 100 canais e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 640 – 664 MHz",1337.0
132,DYLAN,DSM-300,Sistema de monitoramento de palco sem fio c/2 bodypacks + 2 fones + 1 fonte de Alimentação 110/220v acondicionados em maleta plástica. Certificado Anatel. Range de frequência 530 a 580 MHz  630 a 680 MHz,1410.0
133,DYLAN,D-9005S,"Sistema de transmissão sem fio UHF composto de 1 receptor com 2 antenas BNC, 1 bastão transmissor com atenuador de ganho de -10 dB + 1 bodypack transmissor ambos com 100 canais + headset e 1 fonte de Alimentação 110/220v acondicionados em maleta plástica. Certificado Anatel. Range de frequência 530 a 580 MHz  640 a 690 MHz",1451.0
134,DYLAN,QS-5,"Sistema de transmissão sem fio UHF composto de 1 receptor com 2 antenas BNC, 2 bastões transmissores com 6 presets de equalização, atenuador de ganho, mute, display LCD, 150 canais cada e baterias recarregáveis e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 540 – 580 MHz  635 – 694 MHz",1483.0
135,DYLAN,D-9001S TB (TalkBack),"Sistema de transmissão sem fio UHF composto de 1 receptor com 2 antenas BNC, 1 bastão transmissor com 100 canais, atenuador de ganho de -10 dB e botão 'talkback' e 1 fonte de Alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 530 a 580 MHz  640 a 690 MHz",1487.07
136,DYLAN,D-9006S,"Sistema de transmissão sem fio UHF composto de 1 receptor com 2 antenas BNC, 2 bodypacks transmissores com 100 canais cada + 2 headsets e 1 fonte de Alimentação 110/220v acondicionados em maleta plástica. Certificado Anatel. Range de frequência 530 a 580 MHz  640 a 690 MHz",1526.0
137,DYLAN,D-9000S POWER,"Sistema de transmissão sem fio UHF composto de 1 receptor com 2 antenas BNC, 2 bastões transmissores com 100 canais cada e atenuador de ganho de -10 dB, 4 baterias de lithium tamanho AA, um carregador e 1 fonte de Alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 530 a 580 MHz  640 a 690 MHz",1641.0
138,DYLAN,DA-400,DISTRIBUIDOR DE ANTENAS PARA MONITORES SEM FIO COM 4 ENTRADAS Caixa com 2 peças,1711.0
139,DYLAN,QS10/M1,"Sistema de transmissão sem fio UHF true diversity composto de 1 receptor com 2 antenas BNC, 1 bastão transmissor com 100 canais 1 fonte de Alimentação 110/220v acondicionados em maleta plástica. Certificado Anatel. Range de frequência 538 – 558 MHz  645 – 665 MHz",1970.0
140,DYLAN,DA-800,DISTRIBUIDOR DE ANTENAS COM 8 ENTRADAS Caixa com 2 peças,2011.0
141,DYLAN,D-8500,"Sistema de transmissao sem fio UHF true diversity composto de 1 receptor com 4 antenas, 2 bastões transmissores com 100 canais cada e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 530 a 580 MHz  615 a 665 MHz",2283.0
142,DYLAN,D-9500,"Sistema de transmiss o sem fio UHF true diversity composto de 1 receptor padrão rack com 4 antenas BNC, 2 bastões transmissores com 100 canais cada e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 640 – 664 MHz",2519.0
143,DYLAN,QS10/M2,"Sistema de transmissão sem fio UHF true diversity composto de 1 receptor com 4 antenas BNC, 2 bastões receptores com 100 canais cada e 1 fonte de Alimentação 110/220v acondicionados em maleta plástica. Certificado Anatel. Range de frequência 513 – 558 MHz  615 – 665 MHz",3393.0
144,DYLAN,GX-1,"Sistema de transmissão sem fio UHF true diversity composto de 1 receptor 2 antenas BNC, 1 bastão transmissor com 200 canais, 1 cápsula dinâmica cardiólde, 1 cápsula condenser cardiólde e 1 fonte de Alimentação 110/220v acondicionados em maleta plástica. Certificado Anatel. Range de frequência 540 – 580 MHz  640 – 670 MHz",3804.0
145,DYLAN,DW-602/MAX,"Sistema de transmissão sem fio UHF composto de 1 receptor com 2 antenas fixas, 2 bastões transmissores com 26 canais cada e 1 fonte de alimentação 110/220v, acondicionados em maleta plástica. Certificado Anatel. Range de frequência 622 – 684 MHz",
146,ELIXIR,CORDA 5a SI BAIXO SUPER LIGHT LS .125 15425 ELIXIR,ENC CONTRA BAIXO,110.02
147,ELIXIR,ENCORDOAMENTO 010 LIGHT P/GUITARRA 12052 ELIXIR,ENC GUITARRA,127.85
148,ELIXIR,ENCORDOAMENTO 009 SUPER LIGHT P/GUITARRA 12002 ELIXIR,ENC GUITARRA,127.85
149,ELIXIR,ENCORDOAMENTO 011 MEDIUM P/GUITARRA 12102 ELIXIR,ENC GUITARRA,127.85
150,ELIXIR,ENCORDOAMENTO 010 LIGHT HEAVY P/GUITARRA 12077 ELIXIR,ENC GUITARRA,127.85
151,ELIXIR,ENCORDOAMENTO 009 CUSTOM LIGHT P/GUITARRA 12027 ELIXIR,ENC GUITARRA,127.85
152,ELIXIR,ENCORDOAMENTO 012 HEAVY P/GUITARRA 12152 ELIXIR,ENC GUITARRA,127.85
153,ELIXIR,ENCORDOAMENTO 011 MEDIUM P/ GUITARRA POLIWEB 12100 ELIXIR,ENC GUITARRA,127.85
154,ELIXIR,ENCORDOAMENTO 009 SUPER LIGHT P/ GUITARRA OPTIWEB 19002 ELIXIR,ENC GUITARRA,133.24
155,ELIXIR,ENCORDOAMENTO 010 LIGHT P/ GUITARRA OPTIWEB 19052 ELIXIR,ENC GUITARRA,133.24
156,ELIXIR,ENCORDOAMENTO 011 MEDIUM P/ GUITARRA OPTIWEB 19102 ELIXIR,ENC GUITARRA,133.24
157,ELIXIR,ENCORDOAMENTO 010 LIGHT HEAVY P/ GUITARRA OPTIWEB 19077 ELIXIR,ENC GUITARRA,139.64
158,ELIXIR,ENCORDOAMENTO 009 CUSTOM LIGHT P/ GUITARRA C/ REVESTIMENTO OPTIWEB 19027 ELIXIR,ENC GUITARRA,139.64
159,ELIXIR,ENCORDOAMENTO 011 CUSTOM LIGHT P/VIOLAO ACO 11027 ELIXIR,ENC VIOLAO,165.47
160,ELIXIR,ENCORDOAMENTO 010 EXTRA LIGHT P/VIOLAO ACO 11002 ELIXIR,ENC VIOLAO,165.47
161,ELIXIR,ENCORDOAMENTO 012 LIGHT P/VIOLAO ACO 11052 ELIXIR,ENC VIOLAO,165.47
162,ELIXIR,ENCORDOAMENTO 013 MEDIUM BRONZE 80/20 P/VIOLAO 11102 ELIXIR,ENC VIOLAO,165.47
163,ELIXIR,ENCORDOAMENTO 013 80/20 NW HDLT P/VIOLAO ACO 11182 ELIXIR,ENC VIOLAO,165.47
164,ELIXIR,ENCORDOAMENTO 011 MEDIUM P/ GUITARRA 7 CORDAS C/ REVEST NANOWEB 12106 ELIXIR,ENC GUITARRA,167.57
165,ELIXIR,ENCORDOAMENTO 010 NANOWEB P/GUITARRA 7C 12057 ELIXIR,ENC GUITARRA,167.57
166,ELIXIR,ENCORDOAMENTO 011 CUSTOM LIGHT PHOSPHOR BRONZE P/VIOLAO ACO 16027 ELIXIR,ENC VIOLAO,186.96
167,ELIXIR,ENCORDOAMENTO 012 LIGHT PHOSPHOR BRONZE P/VIOLAO ACO 16052 ELIXIR,ENC VIOLAO,186.96
168,ELIXIR,ENCORDOAMENTO 010 EXTRA LIGHT PHOSPHOR BRONZE P/VIOLAO ACO 16002 ELIXIR,ENC VIOLAO,186.96
169,ELIXIR,ENCORDOAMENTO 013 PHOSPHOR BRONZE HDLT P/VIOLAO ACO 16182 ELIXIR,ENC VIOLAO,190.42
170,ELIXIR,ENCORDOAMENTO 009 SUPER LIGHT P/ GUITARRA BONUS PACK L3P2 16540 ELIXIR,ENC GUITARRA,255.7
171,ELIXIR,ENCORDOAMENTO 010 LIGHT P/VIOLAO ACO 12C 11152 ELIXIR,ENC VIOLAO,262.18
172,ELIXIR,ENCORDOAMENTO 010 LIGHT P/ GUITARRA BONUS PACK L3P2 16542 ELIXIR,ENC GUITARRA,266.48
173,ELIXIR,ENCORDOAMENTO 010 LIGHT P/ GUITARRA OPTIWEB BONUS PACK L3P2 16552 ELIXIR,ENC GUITARRA,266.48
174,ELIXIR,ENCORDOAMENTO 009 SUPER LIGHT P/ GUITARRA OPTIWEB PACK L3P2 16550 ELIXIR,ENC GUITARRA,266.48
175,ELIXIR,ENCORDOAMENTO 012 LIGHT BRONZE 80/20 P/ VIOLAO ACO NANOWEB PACK L3P2 16539 ELIXIR,ENC VIOLAO,330.94
176,ELIXIR,ENCORDOAMENTO 011 CUSTOM LIGHT 80/20 BRONZE P/ VIOLAO ACO PACK L3P2 16538 ELIXIR,ENC VIOLAO,330.94
177,ELIXIR,ENCORDOAMENTO. 013 MEDIUM P/ VIOLAO ACO PHOSPHOR BRONZE NANOWEB PACK L3P2 ELIXIR,ENC VIOLAO,359.94
178,ELIXIR,ENCORDOAMENTO 012 LIGHT PHOSPHOR BRONZE P/ VIOLAO ACO NANOWEB PACK L3P2 16545 ELIXIR,ENC VIOLAO,373.91
179,ELIXIR,ENCORDOAMENTO 011 CUSTOM LIGHT PHOSPHOR BRONZE P/ VIOLAO ACO NANOWEB PACK L3P2 16544 ELIXIR,ENC VIOLAO,373.91
180,ELIXIR,ENCORDOAMENTO 045 LIGHT MEDIUM/L.S P/BAIXO 4C ELIXIR,ENC BAIXO,439.28
181,ELIXIR,ENCORDOAMENTO 050 HEAVY/L.S P/BAIXO 4C 14102 ELIXIR,ENC CONTRA BAIXO,439.28
182,ELIXIR,ENCORDOAMENTO 045 130 NANOWEB ACO INOX MEDIUM/L.S. P/BAIXO 5C 14777 ELIXIR,ENC BAIXO,545.86
183,ELIXIR,ENCORDOAMENTO 045 LIGHT/L.S. P/BAIXO 5C 14202 ELIXIR,ENC CONTRA BAIXO,550.1
184,ELIXIR,ENCORDOAMENTO 011 CUSTOM LIGHT 80/20 BRONZE P/ VIOLAO ACO CX C/ 50 S/ EMB 11029 ELIXIR,ENC VIOLAO,4905.15
185,ELIXIR,ENC. 013 NANOWEB PHOSPHOR BRONZE MEDIUM P/ VIOLÃO BULK C/50 16103 ELIXIR,ENC GUITARRA,4988.24
186,ELIXIR,ENCORDOAMENTO 010 LIGHT P/ GUITARRA S/ EMB. CX C/ 100 CORDAS 12053 ELIXIR,ENC GUITARRA,7185.06
187,ELIXIR,ENC. 009 SUPER LIGHT P/ GUITARRA CX C/ 100 SEM EMBALAGEM 12003 ELIXIR,ENC GUITARRA,7185.06
188,ELIXIR,ENC. 010 LIGHT P/ GUITARRA COM REVESTIMENTO OPTIWEB BULK C/100 19053 ELIXIR,ENC GUITARRA,7785.96
189,ELIXIR,ENCORDOAMENTO 012 LIGHT PHOSPHOR BRONZE P/VIOLAO ACO CX C/ 100 S/ EMB. 16054 ELIXIR,ENC GUITARRA,10315.04
190,ELIXIR,ENC. 011 NANOWEB PHOSPHOR BRONZE CUSTOM LIGHT P/ VIOLÃO BULK C/100 16029 ELIXIR,ENC GUITARRA,10315.04
191,ELIXIR,ENCORDOAMENTO 013 MEDIUM P/ VIOLAO ACO PHOSPHOR BRONZE CX C/100 16104 ELIXIR,KIT PROMOCIONAL,10663.38
192,ENCORE,PELE ENCORE 10 POL AMBASSADOR POROSA EN-0110-BA REMO,PELES,44.01
193,ENCORE,PELES ENCORE 10-12-14 POL PINSTRIPE TRANSPARENTE EN-PO24-PP REMO,PELES,165.03
194,ENCORE,ROTOTOM 6-8-10 POL C/ PELES ENCORE TRANSPARENTE ER-0680-06 REMO,ROTOTOM,3151.23
195,K Audio,RIO TUB,"SUPORTE DE CAIXA, tubo extensor de metal, com regulagem, para fixar caixa de alta no subwoofer",86.95
196,K Audio,KDB-10P,"INTERRUPTOR DE CONEXÃO DE ATERRAMENTO, ENTRADA/SAIDA BALANCEADA, ENTRADA COM CONECTOR TS 1/4"", SAIDA PARALELA COM CONECTOR TS1/4"". CHAVE LIFT/GROUND, CHAVE PAD 0dB, -20dB E-40dB",172.97
197,K Audio,TRIPÉ DE CAIXA,TRIPÉ CAIXA ACÚSTICA PRETO TC-203 Material: FERRO ALTURA MAX. 1.80MT Suporta até 50KG,175.27
198,K Audio,CABO PWR,ACESSÓRIO sendo peça de reposição da caixa de som impact L3600,187.53
199,K Audio,KDB-100P,"ENTRADA TRS 1/4"" NÃO BALANCEADO E XLR-F, SAIDA XLR-M. CHAVE LIFT/GROUND, CHAVE PAD (0dB,
-20dB e -40dB). LINK CONECTOR DE 1/4"" NÃO BALANCEADO",318.62
200,K Audio,IMPACT BDJ,"SUPORTE DE CAIXA SUSPENSO de metal, para uso em tripé, específico para uso do line Impact L3600",393.25
201,K Audio,RIO BDJ,"SUPORTE DE CAIXA SUSPENSO de metal, para uso em tripé, específico para uso do modelo Rio L2400",393.3
202,K Audio,TRIPOD,"KIT ACESSÓRIO para instalação do gabinete line 2x4"", contendo 2 tripés de caixa de som tripod, 2 suportes de caixa suspenso rio bdj e acessórios de instalação",445.0
203,K Audio,CROSSOVER KX-234 (110V),"Entrada XLR balanceado, range 20Hz a 20KHz, resposta de frequencia 90KHz +0/-3dB",454.84
204,K Audio,CROSSOVER KX-234 (220V),"Entrada XLR balanceado, range 20Hz a 20KHz, resposta de frequencia 90KHz +0/-3dB",454.84
